Empty;Team;Opponent;Empty2;Empty3;wOBA;wOBA_Diff;ISO;ISO_Diff;SLG;SO/AB;HR/AB;SB/G;Pro;My;Ump;Bargain;ParkRank;Runs;Opp_Run;Delta;ML;OU;ML%;Temp;Rating;WindSpd;WindDir;Humidity;Adv15_Cnt;Adv15_Dist;Adv15_EV;Adv15_FB;Adv15_GB;Adv15_LD;Adv15_HH;Adv15_DistDelta;Adv15_EVDelta;Adv15_HHDelta;Adv15_Air;AdvYear_Cnt;AdvYear_Dist;AdvYear_EV;AdvYear_FB;AdvYear_GB;AdvYear_LD;AdvYear_HH;AdvYear_GB/FB;AdvYear_Air;FantYear_PPG;FantYear_Change;FantYear_PlusMinus;FantYear_Consist;FantYear_Upside;FantYear_Duds;FantYear_Count;FantMonth_PPG;FantMonth_Change;FantMonth_Consist;FantMonth_Upside;FantMonth_Duds;FantMonth_Count
;KC - D Duffy (L);KC;Progressive Field;;;8.09;27.5;1.9;1.56;735.5;;6.53;4.5;;0;0.553;0.238;0.559;0.439;0.912;0.147;;0;0;;83%;17;5.1;3.5;-0.1;-207;8.5;65;44;76.72;5.57;In;0.65;1%;7.4;$0;0.1;14%;6%;18%;61;;;;;;
;SEA - M Gonzales (L);SEA;Minute Maid Park;;;8.6;26.7;2.1;1.62;661.5;;6.98;23.2;;0;0.289;-0.062;0.095;-0.103;0.333;0.159;;0;0;;54%;54;4.8;2.8;-0.3;-281;7.5;58;50;72;0;NA - Closed Roof;0;0%;7.8;$0;-0.4;33%;13%;36%;66;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;8.97;28.4;2.2;1.55;598;;7.42;9;;0;0.353;0.029;0.215;0.072;0.494;0.241;;0;0;;21%;39;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;7.4;$0;-0.3;27%;11%;37%;59;;;;;;
;DET - M Boyd (L);DET;Great American Ball Park;;;8.57;27.7;2.1;1.15;571.3;;7.42;25.1;;0;0.353;0.03;0.18;-0.082;0.46;0.16;;0;0;;50%;61;4.9;3.7;-0.2;-169;8.5;81;54;86.26;3.13;To Right;0.54;1%;6.6;$0;-0.7;20%;10%;37%;59;;;;;;
;SEA - M Gonzales (L);SEA;Minute Maid Park;;;10.55;35.8;2.5;1.8;502.4;;8.75;6.4;;0;0.595;0.148;0.478;0.182;0.925;0.075;;0;0;;21%;42;4.8;2.8;-0.3;-281;7.5;58;50;72;0;NA - Closed Roof;0;0%;11.9;$0;2.2;54%;12%;19%;66;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;9.86;33.7;2.3;0.89;448.2;;8.97;4.5;;0;0.32;-0.099;0.179;-0.125;0.442;0.2;;0;0;;16%;39;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;9.7;$0;0.6;40%;16%;33%;59;;;;;;
;COL - G Marquez (R);COL;;;;8.58;27.4;2.1;1.16;572;;7.42;0;;0;0.34;0.02;0.16;0.035;0.384;0.336;;0;0;;31%;50;5.2;4.5;;-139;9.5;38;50;72;0;NA - Closed Roof;0;0%;7.7;$0;0.5;38%;16%;33%;60;;;;;;
;MIA - S Alcantara (R);MIA;Citizens Bank Park;;;9.07;29;2.2;1.21;533.5;;7.86;5.2;;0;0.251;-0.116;0.153;-0.097;0.306;0.318;;0;0;;21%;50;5;3.6;0;-186;8.5;59;42;78.03;3.39;To Left;0.84;15%;6.9;$0;-0.5;35%;10%;38%;60;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;7.52;23.3;1.9;1.21;752;;6.31;14.2;;0;0.364;0.087;0.294;0.188;0.559;0.235;;0;0;;50%;61;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;6.6;$0;-0.3;30%;15%;37%;59;;;;;;
;SEA - M Gonzales (L);SEA;Minute Maid Park;;;9.86;33.7;2.3;1.11;469.5;;8.75;5.2;;0;0.367;-0.061;0.207;-0.141;0.483;0.276;;0;0;;26%;42;4.8;2.8;-0.3;-281;7.5;58;50;72;0;NA - Closed Roof;0;0%;9.8;$0;0.9;36%;18%;34%;66;;;;;;
;MIA - S Alcantara (R);MIA;Citizens Bank Park;;;6.99;22.5;1.7;1.35;998.6;;5.64;2.6;;0;0.46;0.045;0.32;0.13;0.68;0.2;;0;0;;100%;59;5;3.6;0;-186;8.5;59;42;78.03;3.39;To Left;0.84;15%;8.3;$0;0.6;13%;8%;13%;60;;;;;;
;BAL - T Milone (L);BAL;Fenway Park;;;7;21.8;1.7;1.13;875;;5.87;25.1;;0;0.269;-0.078;0.121;-0.184;0.303;0.379;;0;0;;88%;39;5.6;4;0;-194;9.5;73;39;76.72;4.21;To Left;0.65;1%;7.1;$0;0;35%;16%;40%;59;;;;;;
;SEA - M Gonzales (L);SEA;Minute Maid Park;;;8.86;29.3;2.1;1.22;553.8;;7.64;1.9;;0;0.338;-0.087;0.262;-0.009;0.492;0.098;;0;0;;29%;42;4.8;2.8;-0.3;-281;7.5;58;50;72;0;NA - Closed Roof;0;0%;9.1;$0;0;30%;12%;25%;66;;;;;;
;MIA - S Alcantara (R);MIA;Citizens Bank Park;;;8.43;28.1;2;1.01;562;;7.42;21.3;;0;0.264;-0.067;0.201;-0.07;0.388;0.172;;0;0;;21%;59;5;3.6;0;-186;8.5;59;42;78.03;3.39;To Left;0.84;15%;6.9;$0;-0.6;24%;12%;35%;65;;;;;;
;SEA - M Gonzales (L);SEA;Minute Maid Park;;;9.49;32.4;2.2;0.96;474.5;;8.53;6.4;;0;0.346;-0.086;0.292;0;0.523;0.092;;0;0;;21%;42;4.8;2.8;-0.3;-281;7.5;58;50;72;0;NA - Closed Roof;0;0%;10.8;$0;1.6;43%;22%;31%;66;;;;;;
